id,obj_count,trigger_count,portal_count,x_min,x_max,y_min,y_max,stars
13506658,9057,30,7,1.0,16230.0,-135.0,435.0,2
26674148,14516,493,71,1.0,23085.0,-165.5,1305.0,5
14414991,12629,474,26,80.0,17948.6,-121.0,1455.0,3
64144455,18056,1068,123,-29.0,29036.0,-45.0,2400.0,6
3065291,15000,967,24,315.0,30697.5,1.0,885.0,7
69391941,43480,1378,72,-29.0,19911.0,-180.0,1695.0,6
90791409,25911,1843,49,-29.0,19588.0,-140.368,2208.25,6
44047205,29323,555,69,-29.0,16573.5,-180.0,2198.78,5
66309694,65867,2151,63,-29.0,26895.0,-165.0,2310.4,6
36792656,65190,779,38,-29.0,35130.0,-165.0,2013.96,7
69996779,45053,1118,57,-29.0,23985.0,-180.0,2400.0,5
83420561,39966,2967,44,-29.0,24075.0,-180.0,2250.0,8
54620923,25330,474,112,-29.0,25665.0,-180.0,1695.0,7
37584462,77939,2100,67,-97.2002,24555.0,-81.297,2400.0,7
27549881,13144,512,20,-285.0,16305.0,-22.5,1485.0,4
11487436,3815,144,10,1.0,21375.0,-135.0,1215.0,6
63521602,35821,2927,54,-29.0,33795.0,-180.0,2355.0,10
40937291,21415,507,30,-29.0,18855.0,3.0,2106.62,7
65068071,97050,2868,61,-29.0,37875.0,-180.0,2357.55,8
214396,1468,0,21,465.0,22575.0,2.0,315.0,1
67753412,39825,785,2,-29.0,20625.0,-180.0,2400.0,4
6067842,19595,232,38,315.0,26029.0,1.0,1500.0,1
75534380,41502,1897,12,-29.0,23385.0,-165.0,1905.87,8
35444390,31219,622,42,-29.0,20805.0,-180.0,1785.0,4
44525497,77694,4988,94,-29.0,32775.0,-180.0,2244.64,8
10106811,14758,217,33,-102.5,20375.0,1.0,775.0,1
31354140,19785,2671,35,-29.0,18945.0,-180.0,2373.75,5
38852235,77424,1412,107,-29.0,22860.6,-180.0,2400.0,8
78549453,39979,2192,45,-29.0,20490.0,-178.5,1605.0,8
34462031,40351,663,12,15.0,16065.0,-180.0,1995.0,4
47469402,13947,5976,0,-29.0,25605.0,-180.0,1905.0,10
40508974,23484,1402,49,-15.0,27975.0,-165.0,2385.0,8
28784493,25616,453,31,-209.0,17805.0,-75.0,2010.0,8
73732693,78818,9682,51,-29.0,34005.0,-135.0,2385.0,9
76336526,79991,4658,81,-29.0,27634.0,-180.0,2400.0,9
20635816,12353,154,35,1.0,19330.0,-180.0,975.0,5
66766246,6077,476,0,-29.0,8715.0,-15.0,2205.0,2
40829615,44919,935,52,-29.0,21405.0,-150.0,1275.0,6
39976494,40247,2435,94,-29.0,26311.0,-180.0,2396.0,10
34167869,37958,1481,16,-29.0,20115.0,-165.0,2175.0,7
62773037,31550,730,8,-180.0,20913.5,-180.0,2400.0,6
73960778,61714,1831,55,-29.0,27495.0,-180.0,2325.0,9
15707984,11254,95,10,-255.0,16773.8,-17.5,1785.0,3
4720967,21327,958,15,301.0,20595.0,1.0,975.0,5
57988518,19299,703,68,-29.0,22305.0,-180.0,2175.0,8
14528374,10353,3102,12,-4651.78,23265.0,-2088.78,1575.0,3
413773,5372,148,51,399.0,25545.0,-4.0,1185.0,1
66868300,39411,2433,26,-29.0,30180.5,-165.0,2385.0,5
72653198,30336,2909,9,-29.0,25149.1,-180.0,2274.87,7
54786736,62651,4714,63,-29.0,20588.3,-161.4,2400.0,6
30609117,20763,668,75,-29.0,19275.0,-114.0,2400.0,5
8891941,29089,576,15,-165.0,25560.4,-3.0,705.0,2
61580657,37958,3259,36,-29.0,25125.4,-180.0,2400.0,7
32298346,45246,1372,158,-29.0,47639.3,-180.0,2283.73,10
61123634,154520,2745,170,-29.0,50889.9,-180.0,2265.0,9
84490909,26943,836,1,-29.0,125085.0,-165.0,1995.0,2
